A,A_motor,proba_mean,latency_motor,latency_stop_forward,latency_stop_backward,stop_shift,stop_shift2,max_dur,n_onset,game,mode,subject
0.7565000000000001,0.8390000000000001,0.7979999999999998,1395.5,655.0,2700.0,130.0,260.0,4605.0,2.2,1,im,01TG
0.751,0.8315000000000001,0.7865,707.5,720.0,2480.0,245.0,305.0,4995.0,2.35,2,im,01TG
0.7015,0.8109999999999999,0.7474999999999999,1581.0,880.0,3010.0,225.0,535.0,4430.0,2.1,3,im,01TG
0.7535000000000001,0.8645000000000002,0.7595,319.5,995.0,2035.0,25.0,400.0,4965.0,2.8,1,qm,01TG
0.7045000000000001,0.7655000000000001,0.6689999999999999,523.5,530.0,865.0,-120.0,-195.0,3935.0,3.2,2,qm,01TG
0.8030000000000002,0.907,0.8055,493.5,1055.0,3245.0,465.0,690.0,5640.0,2.4,3,qm,01TG
0.6874999999999999,0.7210000000000001,0.6715000000000001,383.5,565.0,1095.0,-135.0,-220.0,2930.0,4.75,1,im,02ES
0.78,0.8085000000000001,0.7084999999999999,357.5,600.0,1570.0,-95.0,-30.0,4015.0,3.45,2,im,02ES
0.744,0.755,0.6779999999999999,527.0,675.0,1670.0,-5.0,215.0,3865.0,3.65,3,im,02ES
0.7565000000000001,0.8235000000000001,0.787,508.0,570.0,1980.0,-20.0,30.0,4565.0,3.25,1,qm,02ES
0.827,0.86,0.7869999999999999,333.0,535.0,1515.0,0.0,100.0,5420.0,2.45,2,qm,02ES
0.7305,0.7855000000000001,0.73,517.5,690.0,905.0,-310.0,15.0,5020.0,2.25,3,qm,02ES
0.692,0.8379999999999999,0.7539999999999999,1302.0,895.0,1870.0,35.0,145.0,4720.0,2.65,1,im,03AC
0.6739999999999999,0.7915,0.7145,1566.0,945.0,1620.0,55.0,375.0,4220.0,3.0,2,im,03AC
0.667,0.9040000000000001,0.8450000000000001,917.0,865.0,3305.0,-65.0,-155.0,5415.0,2.25,3,im,03AC
0.7625000000000002,0.8734999999999999,0.795,1122.0,1010.0,2655.0,155.0,710.0,5015.0,2.45,1,qm,03AC
0.755,0.8660000000000002,0.7795,1115.5,970.0,2440.0,25.0,355.0,4645.0,2.7,2,qm,03AC
0.7365,0.8839999999999998,0.768,996.5,1140.0,1775.0,150.0,635.0,5070.0,2.5,3,qm,03AC
0.7620000000000001,0.8955,0.8474999999999999,647.0,875.0,1845.0,-215.0,320.0,5200.0,2.85,1,im,04AB
0.6575,0.7675,0.7024999999999999,1587.0,1180.0,2965.0,410.0,770.0,3890.0,3.0,2,im,04AB
0.6990000000000001,0.8045,0.706,1298.0,715.0,2085.0,95.0,-20.0,4170.0,2.7,3,im,04AB
0.63,0.7355,0.6815,1431.5,695.0,1525.0,-35.0,-55.0,3705.0,3.0,1,qm,04AB
0.6849999999999998,0.8009999999999999,0.7005,1022.5,1025.0,1445.0,-140.0,185.0,4125.0,3.15,2,qm,04AB
,,,,,,,,,,3,qm,04AB
0.615,0.668,0.616,1617.5,965.0,2335.0,280.0,535.0,3655.0,3.3,1,im,06KK
0.6445000000000001,0.775,0.7085000000000001,1930.0,1155.0,3660.0,605.0,700.0,4490.0,2.1,2,im,06KK
0.7485000000000002,0.9,0.794,707.5,1580.0,3070.0,65.0,1290.0,5695.0,2.3,3,im,06KK
0.609,0.7024999999999999,0.6785,1355.0,1205.0,2710.0,235.0,365.0,3725.0,2.55,1,qm,06KK
0.7034999999999999,0.807,0.702,1091.0,920.0,2945.0,615.0,590.0,4550.0,3.05,2,qm,06KK
0.6589999999999999,0.757,0.7184999999999999,1166.0,1050.0,2275.0,545.0,530.0,4315.0,2.7,3,qm,06KK
0.7855000000000001,0.866,0.793,424.0,790.0,2780.0,355.0,370.0,4900.0,2.7,1,im,07TS
0.692,0.7525000000000001,0.7224999999999999,473.5,830.0,1375.0,20.0,50.0,4425.0,2.55,2,im,07TS
0.6410000000000001,0.7235,0.6775,1031.5,980.0,1395.0,0.0,-5.0,3120.0,3.9,3,im,07TS
0.7275,0.8335000000000001,0.741,1116.5,940.0,2485.0,90.0,235.0,4460.0,2.85,1,qm,07TS
0.7240000000000001,0.7380000000000001,0.6940000000000001,912.0,595.0,2390.0,150.0,110.0,3795.0,2.85,2,qm,07TS
0.6795,0.7345,0.6925,607.0,780.0,1705.0,40.0,225.0,3875.0,2.85,3,qm,07TS
0.8095000000000001,0.9225,0.9129999999999999,487.0,725.0,2510.0,85.0,120.0,5995.0,1.65,1,im,10AS
0.611,0.708,0.654,1940.0,665.0,1710.0,-170.0,-85.0,3640.0,2.45,2,im,10AS
0.6829999999999999,0.7785000000000001,0.6975,1311.5,690.0,1690.0,-80.0,-50.0,4040.0,2.65,3,im,10AS
0.7104999999999999,0.8795,0.8364999999999998,753.0,1145.0,1990.0,90.0,690.0,4890.0,3.1,1,qm,10AS
0.7120000000000001,0.9029999999999999,0.8424999999999999,623.0,1285.0,2505.0,425.0,660.0,5290.0,2.65,2,qm,10AS
0.7729999999999999,0.9119999999999997,0.8415000000000001,592.0,1050.0,2775.0,310.0,400.0,5470.0,2.5,3,qm,10AS
0.6585,0.7464999999999999,0.7030000000000001,1158.5,890.0,2335.0,365.0,380.0,3630.0,3.4,1,im,11AK
0.7390000000000001,0.7915,0.7135,404.0,650.0,1735.0,25.0,125.0,3795.0,4.05,2,im,11AK
0.6729999999999999,0.706,0.6679999999999999,898.0,835.0,1925.0,385.0,215.0,2960.0,4.55,3,im,11AK
0.7045,0.791,0.719,432.0,995.0,2235.0,265.0,460.0,3775.0,4.8,1,qm,11AK
0.643,0.717,0.6465,1696.0,710.0,2140.0,120.0,265.0,3225.0,3.6,2,qm,11AK
0.765,0.873,0.8105,1012.0,785.0,3395.0,235.0,350.0,4965.0,3.25,3,qm,11AK
0.5685,0.639,0.5934999999999999,982.0,755.0,1325.0,-190.0,-195.0,2600.0,4.5,1,im,13AU
0.6105263157894738,0.6694736842105263,0.6163157894736843,1027.8947368421052,710.5263157894736,1484.2105263157894,-210.52631578947367,10.526315789473685,2984.2105263157896,4.105263157894737,2,im,13AU
0.6535,0.7045,0.628,632.5,705.0,1470.0,-10.0,130.0,3520.0,4.55,3,im,13AU
0.49050000000000005,0.4915,0.47800000000000004,992.0,665.0,630.0,-465.0,-300.0,1650.0,5.45,1,qm,13AU
0.4615,0.44349999999999995,0.441,820.5,560.0,615.0,-250.0,-355.0,1390.0,5.75,2,qm,13AU
0.6175,0.675,0.596,458.0,865.0,1180.0,-50.0,50.0,2640.0,6.1,3,qm,13AU
0.7695000000000001,0.8809999999999999,0.8284999999999998,1030.5,925.0,1940.0,155.0,435.0,5145.0,2.0,1,im,14BE
0.7180000000000001,0.8949999999999999,0.8425,1065.5,1010.0,3225.0,345.0,600.0,5425.0,1.7,2,im,14BE
0.7670000000000001,0.8890000000000002,0.7815000000000001,807.5,1170.0,1490.0,5.0,710.0,5390.0,2.25,3,im,14BE
0.6315000000000002,0.6980000000000001,0.6580000000000001,1382.5,935.0,2330.0,-185.0,220.0,3695.0,2.85,1,qm,14BE
0.7649999999999999,0.8975,0.8714999999999999,1493.5,1140.0,3015.0,455.0,830.0,5220.0,1.6,2,qm,14BE
0.6980000000000001,0.8234999999999999,0.7825,1101.0,990.0,2740.0,265.0,480.0,4650.0,2.1,3,qm,14BE
0.5980000000000001,0.5805,0.5670000000000001,272.5,510.0,650.0,-250.0,-310.0,2660.0,3.75,1,im,15AZ
0.621,0.6730000000000002,0.6559999999999999,926.5,560.0,760.0,-110.0,-170.0,3360.0,3.55,2,im,15AZ
0.5905,0.7384999999999999,0.659,884.5,1275.0,2255.0,-20.0,970.0,3630.0,3.85,3,im,15AZ
0.5175000000000001,0.5185000000000001,0.49949999999999994,1042.0,520.0,660.0,-250.0,-300.0,1820.0,4.7,1,qm,15AZ
0.6034999999999999,0.6475000000000001,0.6005,860.5,940.0,1595.0,-210.0,185.0,2760.0,4.35,2,qm,15AZ
0.6339999999999999,0.6769999999999999,0.6350000000000001,478.5,645.0,2200.0,330.0,195.0,2940.0,4.5,3,qm,15AZ
