subject,filename,corr_x,corr_y
01TG,im_log_game_1,-44.4,-30.62
01TG,im_log_game_2,-24.1,-11.4
01TG,im_log_game_3,-10.82,6.75
01TG,qm_log_game_1,-17.45,-14.3
01TG,qm_log_game_2,7.7,-4.9
01TG,qm_log_game_3,-13.2,-10.72
02ES,im_log_game_1,-14.7,-29.4
02ES,im_log_game_2,-26.3,-27.1
02ES,im_log_game_3,-9.9,6.55
02ES,qm_log_game_1,-12.1,-26.4
02ES,qm_log_game_2,-34.4,20.95
02ES,qm_log_game_3,-11.9,-41.8
03AC,im_log_game_1,38.85,31.2
03AC,im_log_game_2,54.3,22.1
03AC,im_log_game_3,43.4,28.7
03AC,qm_log_game_1,54.2,32.4
03AC,qm_log_game_2,53.35,43.15
03AC,qm_log_game_3,46.65,26.7
04AB,im_log_game_1,-15.75,-19.75
04AB,im_log_game_2,-31.0,-43.8
04AB,im_log_game_3,-15.4,-12.0
04AB,qm_log_game_1,-25.0,-26.3
04AB,qm_log_game_2,-19.3,-32.9
06KK,im_log_game_1,-12.4,1.55
06KK,im_log_game_2,-24.6,-1.5
06KK,im_log_game_3,15.5,34.1
06KK,im_log_game_4,15.9,-7.7
06KK,qm_log_game_1,12.6,18.6
06KK,qm_log_game_2,21.5,-27.0
06KK,qm_log_game_3,24.4,32.1
07TS,im_log_game_1,38.0,52.57
07TS,im_log_game_2,41.5,18.7
07TS,im_log_game_3,65.3,24.6
07TS,qm_log_game_1,58.25,28.2
07TS,qm_log_game_2,-16.65,37.85
07TS,qm_log_game_3,47.17,-0.15
07TS,qm_log_game_4,43.8,13.8
10AS,im_log_game_1,-53.9,-46.7
10AS,im_log_game_2,-13.75,-53.88
10AS,im_log_game_3,-26.55,-4.05
10AS,im_log_game_4,-30.3,-19.3
10AS,qm_log_game_1,-31.9,-18.9
10AS,qm_log_game_2,-22.35,-24.05
10AS,qm_log_game_3,-24.05,-20.3
11AK,im_log_game_1,-40.8,-7.0
11AK,im_log_game_2,-35.2,16.3
11AK,im_log_game_3,-41.17,-4.47
11AK,qm_log_game_1,-9.7,44.9
11AK,qm_log_game_2,-40.0,-10.1
11AK,qm_log_game_3,-58.2,8.2
13AU,im_log_game_1,36.6,-29.8
13AU,im_log_game_2,20.6,-43.0
13AU,im_log_game_3,38.3,-52.9
13AU,qm_log_game_1,30.25,-21.57
13AU,qm_log_game_2,49.3,2.1
13AU,qm_log_game_3,36.95,0.88
14BE,im_log_game_1,17.2,-15.22
14BE,im_log_game_2,25.5,-27.3
14BE,im_log_game_3,4.8,-50.4
14BE,qm_log_game_1,22.0,-31.9
14BE,qm_log_game_2,2.95,-11.75
14BE,qm_log_game_3,6.8,-28.15
15AZ,im_log_game_1,17.05,-15.65
15AZ,im_log_game_2,10.7,-4.92
15AZ,qm_log_game_1,18.4,-39.0
15AZ,qm_log_game_2,4.15,-33.85
15AZ,qm_log_game_3,16.52,-10.75
18KK,im_log_game_1,-31.45,15.65
18KK,im_log_game_2,-55.7,-20.8
18KK,im_log_game_3,-49.4,-6.62
18KK,qm_log_game_1,-30.1,-4.88
18KK,qm_log_game_2,-45.9,-17.0
19VB,im_log_game_1,-26.6,7.4
19VB,im_log_game_2,-32.15,-14.55
19VB,im_log_game_3,-38.12,-22.25
19VB,qm_log_game_1,-13.2,25.1
19VB,qm_log_game_2,-0.9,8.0
19VB,qm_log_game_3,-13.9,17.0
20EC,im_log_game_1,0.4,-20.25
20EC,im_log_game_2,10.25,49.2
20EC,im_log_game_3,-7.7,25.35
20EC,qm_log_game_1,3.23,16.88
20EC,qm_log_game_2,4.0,53.4
20EC,qm_log_game_3,7.6,43.7
21EC,im_log_game_1,43.8,-52.2
21EC,im_log_game_2,29.9,-59.7
21EC,im_log_game_3,13.4,-63.6
21EC,im_log_game_4,41.7,-46.55
21EC,qm_log_game_1,27.35,-42.2
21EC,qm_log_game_2,19.7,-23.1
21EC,qm_log_game_3,19.85,-52.25
22ES,im_log_game_1,-46.85,-40.75
22ES,im_log_game_2,-50.0,-43.75
22ES,im_log_game_3,-36.7,-46.2
22ES,qm_log_game_1,-36.8,-46.05
22ES,qm_log_game_2,-44.7,-46.4
23MM,im_log_game_1,-35.05,-3.25
23MM,im_log_game_2,-12.1,-2.2
23MM,im_log_game_3,-20.65,11.4
23MM,qm_log_game_1,-16.5,2.15
23MM,qm_log_game_2,-8.65,4.2
23MM,qm_log_game_3,-10.5,-5.7
24EK,im_log_game_1,-25.7,-15.8
24EK,im_log_game_2,9.0,-60.7
24EK,im_log_game_4,-36.2,-1.6
24EK,qm_log_game_1,-19.5,-3.0
24EK,qm_log_game_2,-8.65,-37.3
24EK,qm_log_game_3,-27.2,-18.6
25PP,im_log_game_1,11.0,-16.9
25PP,im_log_game_2,14.8,-36.1
25PP,im_log_game_3,-10.0,-10.7
25PP,qm_log_game_1,20.1,-4.0
25PP,qm_log_game_2,23.6,-45.5
25PP,qm_log_game_3,37.3,-23.5
25PP,qm_log_game_4,17.95,-31.0
