index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var
18702,activate_star,7958,1213,826,759814657,-,0,0,5739,im,1,14BE,im_log_game_1,14,holiday_home,1,,,,,,,
18734,activate_star,58596,693,476,759865296,-,0,212,56377,im,1,14BE,im_log_game_1,4,blast,2,0.0,23.74,715.3,469.7,3.33,5.96,4.645
18754,activate_star,77833,957,801,759884537,-,0,402,75614,im,1,14BE,im_log_game_1,9,blast,3,0.0,60.16,981.4,746.8,6.36,44.72,25.54
18769,activate_star,93633,1116,367,759900336,-,0,719,91414,im,1,14BE,im_log_game_1,12,holiday_home,4,0.0,26.54,1139.0,380.3,1.27,38.83,20.05
18796,activate_star,140031,1058,609,759946736,-,0,922,137812,im,1,14BE,im_log_game_1,10,holiday_home,5,0.0,12.87,1070.0,604.4,3.3,9.63,6.465
19070,activate_star,4034,974,557,760478216,-,0,0,2211,im,2,14BE,im_log_game_2,8,holiday_home,1,,,,,,,
19089,activate_star,29920,724,590,760504096,-,0,349,28097,im,2,14BE,im_log_game_2,4,blast,2,0.0,63.66,752.1,533.25,2.65,26.17,14.41
19103,activate_star,43912,643,918,760518096,-,0,536,42089,im,2,14BE,im_log_game_2,1,blast,3,0.0,81.92,699.0,857.9,1.92,26.26,14.09
19119,activate_star,61679,1140,935,760535856,-,0,749,59856,im,2,14BE,im_log_game_2,12,holiday_home,4,0.0,60.38,1162.0,878.7,5.13,36.84,20.985000000000003
19137,activate_star,85277,1346,454,760559456,-,0,1037,83454,im,2,14BE,im_log_game_2,19,holiday_home,5,0.0,33.97,1339.85,420.6,13.37,9.89,11.629999999999999
19448,activate_star,4846,995,345,761189552,-,0,0,2668,im,3,14BE,im_log_game_3,11,holiday_home,1,,,,,,,
19480,activate_star,62646,1178,570,761247352,-,0,305,60468,im,3,14BE,im_log_game_3,15,blast,2,0.0,20.87,1180.7,549.6,2.45,17.82,10.135
19494,activate_star,76973,698,866,761261672,-,0,633,74795,im,3,14BE,im_log_game_3,4,blast,3,0.0,42.36,717.5,829.0,9.13,19.7,14.415
19507,activate_star,90306,1201,815,761274992,-,0,839,88128,im,3,14BE,im_log_game_3,16,blast,4,0.0,54.02,1183.55,764.2,6.65,12.25,9.45
19520,activate_star,102618,882,737,761287312,-,0,1097,100440,im,3,14BE,im_log_game_3,8,blast,5,0.0,69.6,882.5,667.4,3.17,16.22,9.695
19534,activate_star,117006,643,608,761301712,-,0,1306,114828,im,3,14BE,im_log_game_3,3,blast,6,0.0,64.85,664.6,547.0,3.91,10.05,6.98
19550,activate_star,132087,711,347,761316792,-,0,1577,129909,im,3,14BE,im_log_game_3,5,holiday_home,7,0.0,26.6,722.3,324.25,3.07,19.86,11.465
19580,activate_star,187848,1322,380,761372552,-,0,1856,185670,im,3,14BE,im_log_game_3,18,blast,8,0.0,40.52,1298.4,347.8,2.84,17.97,10.405
19593,activate_star,201170,573,140,761385872,-,0,2016,198992,im,3,14BE,im_log_game_3,0,blast,9,0.0,25.07,583.7,117.65,8.86,8.69,8.774999999999999
19606,activate_star,214502,1107,153,761399192,-,0,2277,212324,im,3,14BE,im_log_game_3,13,blast,10,0.0,56.55,1094.7,97.65,5.99,12.74,9.365
19625,activate_star,11333,1051,234,761424432,-,0,2341,232011,im,3,14BE,im_log_game_3,12,blast,11,0.0,47.72,1045.65,186.8,9.1,7.2,8.15
19639,activate_star,25674,837,146,761438752,-,0,2623,246352,im,3,14BE,im_log_game_3,7,blast,12,0.0,45.01,844.6,101.6,3.4,10.15,6.775
19653,activate_star,40571,929,500,761453671,-,0,2918,261249,im,3,14BE,im_log_game_3,9,holiday_home,13,0.0,7.29,925.65,494.6,5.35,15.8,10.575
19676,activate_star,76053,1222,743,761489152,-,0,3037,296731,im,3,14BE,im_log_game_3,17,holiday_home,14,0.0,29.7,1221.3,713.4,1.88,11.86,6.869999999999999
19804,activate_star,6684,752,566,763836434,-,0,0,4655,qm,1,14BE,qm_log_game_1,4,holiday_home,1,,,,,,,
19825,activate_star,41291,756,348,763871034,-,0,223,39262,qm,1,14BE,qm_log_game_1,5,blast,2,0.0,61.7,788.9,296.15,7.05,11.88,9.465
19838,activate_star,54621,915,147,763884354,-,0,490,52592,qm,1,14BE,qm_log_game_1,7,blast,3,0.0,42.13,926.1,106.3,3.45,11.3,7.375
19854,activate_star,71605,1152,417,763901354,-,0,697,69576,qm,1,14BE,qm_log_game_1,13,holiday_home,4,0.0,28.21,1154.4,388.9,2.48,5.76,4.12
19877,activate_star,105654,1359,536,763935396,-,0,1047,103625,qm,1,14BE,qm_log_game_1,19,blast,5,0.0,73.11,1344.4,464.55,6.32,26.28,16.3
19890,activate_star,119081,1355,287,763948834,-,0,1267,117052,qm,1,14BE,qm_log_game_1,18,holiday_home,6,0.0,59.57,1318.85,239.4,4.41,32.94,18.674999999999997
19913,activate_star,158765,619,792,763988514,-,0,1538,156736,qm,1,14BE,qm_log_game_1,1,blast,7,0.0,44.14,659.4,774.25,3.48,11.32,7.4
19927,activate_star,173095,986,587,764002834,-,0,1688,171066,qm,1,14BE,qm_log_game_1,10,blast,8,0.0,39.69,1015.4,560.8,17.31,18.58,17.945
19940,activate_star,185422,1263,730,764015154,-,0,1948,183393,qm,1,14BE,qm_log_game_1,15,holiday_home,9,0.0,35.31,1258.05,694.9,2.55,20.74,11.645
19959,activate_star,212084,1005,898,764041834,-,0,2079,210055,qm,1,14BE,qm_log_game_1,12,blast,10,0.0,74.87,1021.4,825.1,1.95,21.95,11.95
19974,activate_star,7534,574,753,764061233,-,0,2119,226778,qm,1,14BE,qm_log_game_1,0,blast,11,0.0,32.37,601.7,736.5,11.56,9.26,10.41
19989,activate_star,22898,750,914,764076594,-,0,2193,242142,qm,1,14BE,qm_log_game_1,3,blast,12,0.0,63.25,775.2,856.6,13.61,26.65,20.13
20005,activate_star,40226,805,704,764093913,-,0,2355,259470,qm,1,14BE,qm_log_game_1,6,blast,13,0.0,48.91,844.85,676.0,5.65,18.25,11.95
20018,activate_star,53615,964,940,764107313,-,0,2428,272859,qm,1,14BE,qm_log_game_1,9,blast,14,0.0,75.61,983.1,866.85,5.81,12.95,9.379999999999999
20031,activate_star,66336,1344,556,764120033,-,0,2445,285580,qm,1,14BE,qm_log_game_1,17,blast,15,0.0,25.35,1320.65,546.75,4.45,16.17,10.31
20044,activate_star,79459,1281,913,764133154,-,0,2407,298703,qm,1,14BE,qm_log_game_1,16,holiday_home,16,0.0,41.56,1257.9,878.5,1.3,19.78,10.540000000000001
20064,activate_star,104911,995,594,764158594,-,0,2488,324155,qm,1,14BE,qm_log_game_1,11,blast,17,0.0,33.54,1021.5,573.7,31.1,58.09,44.595
20081,activate_star,121699,1203,393,764175394,-,0,2536,340943,qm,1,14BE,qm_log_game_1,14,blast,18,0.0,13.65,1198.2,405.7,6.08,24.25,15.165
20095,activate_star,136335,717,310,764190033,-,0,2774,355579,qm,1,14BE,qm_log_game_1,2,blast,19,0.0,30.94,740.8,290.05,2.54,13.53,8.035
20108,activate_star,149932,943,208,764203634,-,0,2863,369176,qm,1,14BE,qm_log_game_1,8,blast,20,0.0,13.28,956.1,206.6,1.77,4.03,2.9000000000000004
20124,activate_star,4875,716,532,981783,-,0,0,2496,qm,2,14BE,qm_log_game_2,4,blast,1,0.0,30.14,715.4,501.9,4.42,8.93,6.675
20140,activate_star,21635,567,216,998543,-,0,223,19256,qm,2,14BE,qm_log_game_2,0,holiday_home,2,0.0,56.4,613.95,185.75,5.23,3.07,4.15
20157,activate_star,44772,815,333,1021663,-,0,493,42393,qm,2,14BE,qm_log_game_2,7,holiday_home,3,0.0,34.93,843.0,313.1,3.23,4.51,3.87
20438,activate_star,4553,769,286,1570278,-,0,0,2486,qm,3,14BE,qm_log_game_3,5,blast,1,,,,,,,
20451,activate_star,16877,1334,178,1582598,-,0,132,14810,qm,3,14BE,qm_log_game_3,18,blast,2,,,,,,,
20465,activate_star,30200,643,474,1595918,-,0,427,28133,qm,3,14BE,qm_log_game_3,2,blast,3,0.0,22.71,648.1,451.8,2.89,2.42,2.6550000000000002
20478,activate_star,42526,898,488,1608238,-,0,638,40459,qm,3,14BE,qm_log_game_3,9,blast,4,0.0,26.57,895.4,461.7,3.67,4.79,4.23
20491,activate_star,55848,1221,488,1621558,-,0,866,53781,qm,3,14BE,qm_log_game_3,15,holiday_home,5,0.0,24.33,1219.1,463.8,5.05,4.77,4.91
20509,activate_star,80509,1039,660,1646198,-,0,847,78442,qm,3,14BE,qm_log_game_3,11,blast,6,0.0,46.79,1038.35,613.25,9.48,13.3,11.39
20522,activate_star,93844,1296,682,1659558,-,0,968,91777,qm,3,14BE,qm_log_game_3,17,holiday_home,7,0.0,23.98,1287.8,660.15,10.82,6.26,8.54
20541,activate_star,119195,785,757,1684918,-,0,1302,117128,qm,3,14BE,qm_log_game_3,6,blast,8,0.0,45.74,804.5,715.7,7.36,6.92,7.140000000000001
20556,activate_star,133535,628,884,1699238,-,0,1533,131468,qm,3,14BE,qm_log_game_3,1,blast,9,0.0,93.58,644.45,791.7,5.02,34.0,19.509999999999998
20569,activate_star,146871,1095,863,1712598,-,0,1751,144804,qm,3,14BE,qm_log_game_3,13,blast,10,0.0,20.05,1108.6,847.7,2.47,14.32,8.395
20586,activate_star,5768,655,161,1732238,-,0,1944,161362,qm,3,14BE,qm_log_game_3,3,holiday_home,11,0.0,21.92,653.6,163.65,1358.74,129.39,744.065
20603,activate_star,29105,877,148,1755558,-,0,2264,184699,qm,3,14BE,qm_log_game_3,8,blast,12,0.0,43.7,878.3,104.3,3.99,11.13,7.5600000000000005
20616,activate_star,42526,1074,306,1768998,-,0,2628,198120,qm,3,14BE,qm_log_game_3,12,holiday_home,13,0.0,28.21,1074.75,277.8,3.2,5.83,4.515000000000001
20648,activate_star,92929,909,427,1819398,-,0,2782,248523,qm,3,14BE,qm_log_game_3,10,holiday_home,14,0.0,40.31,936.1,396.5,5.68,14.01,9.844999999999999
